JAAR;PLAATS;Amsterdam Code,
1903;Amsterdam;11150,
1903;Zaandam;11044,
1903;Bredevoort;11046,
1903;Amsterdam;11150,
1903;Arnhem;10795,
1903;Amsterdam;11150,
1903;'s-Gravenhage;11434,
1903;Vianen;10887,
1907;Wageningen;11010,
1907;Culemborg;10342,
1907;Rotterdam;10345,
1907;Amsterdam;11150,
1907;Groningen;10426,
1907;Werkendam;10078,
1907;Rheden;11355,
1907;'s-Hertogenbosch;10054,
1907;Delft;10928,
1907;Rotterdam;10345,
1907;Rotterdam;10345,
1907;Arnhem;10795,
1868;Heerenveen;10680,
1868;Ter Idzard;11322,
1868;Alphen a/d Rijn;10517,
1868;Beetsterzwaag;10005,
1868;Terwispel;10005,
1868;Steenwijk;10546,
1868;Paasloo;10858,
1869;Almelo;11053,
1869;Haarlem;10357,
1869;Lemmer;10142,
1869;Utrecht;10722,
1869;Zevenhuizen;11377,
1869;Middelburg;10483,
1869;Veere;10369,
1869;Vlissingen;10270,
1869;Arnemuiden;11419,
1869;West-Souburg;10270,
1869;Amsterdam;11150,
1869;Beetsterzwaag;10005,
1869;Terwispel;10005,
1869;Den Helder;10285,
1869;Terwispel;10005,
1869;Kampen;10253,
1869;Cr_vecoeur;10054,
1869;Harlingen;10909,
1869;Amsterdam;11150,
1869;landelijk;,
1869;Heerenveen;10680,
1869;Sneek;11421,
1869;Rotterdam;10345,
1869;Noordbroek;10814,
1869;Wierden;10676,
1869;Heerenveen;10680,
1869;Breda;10154,
1870;Amsterdam;11150,
1870;Amsterdam;11150,
1870;Lemmer;10142,
1870;Vlissingen;10270,
1870;Hollandsche Ijsel;,
1870;Breda;10154,
1870;Amsterdam;11150,
1870;Amsterdam;11150,
1870;Tietjerksteradeel;11241,
1870;Dokkum;10198,
1870;Amsterdam;11150,
1894;Rotterdam;10345,
1894;Zwolle;10093,
1894;Alteveer;10839,
1894;Leiden;10702,
1894;Veenendaal;11052,
1894;Helmond;10932,
1894;Alteveer;10839,
1894;Stadskanaal;10825,
1894;Valthermond;11320,
1894;Amsterdam;11150,
1894;Amsterdam;11150,
1894;Arnhem;10795,
1894;Winschoten;10453,
1896;Gouda;10302,
1896;Amsterdam;11150,
1896;Tzummarum;10156,
1896;Amsterdam;11150,
1896;Rotterdam;10345,
1890;Veendam;11292,
1890;Het Bildt;10128,
1890;Rotterdam;10345,
1890;Helmond;10932,
1890;Amsterdam;11150,
1890;Knijpe;10680,
1890;Asten;10478,
1897;Amsterdam;11150,
1897;Rotterdam;10345,
1897;Rotterdam;10345,
1897;Dordrecht;11157,
1897;Pekela;10848,
1899;Lonneker;10364,
1899;Amsterdam;11150,
1899;Nieuw-Buinen;10448,
1899;Dordrecht;11157,
1899;Rotterdam;10345,
1899;Lienden;11093,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1902;Amsterdam;11150,
1903;Haarlem;10357,
1903;IJmuiden;10620,
1903;Zaandam;11044,
1903;Amsterdam;11150,
